T,O,value
1,1,27
2,1,5
3,1,4
4,1,12
5,1,8
6,1,7
7,1,17
8,1,14
9,1,17
10,1,11
11,1,8
12,1,14
13,1,9
14,1,23
15,1,15
16,1,9
17,1,16
18,1,10
19,1,4
20,1,10
21,1,8
22,1,15
23,1,11
24,1,12
25,1,34
26,1,16
27,1,8
28,1,16
29,1,8
30,1,10
31,1,16
32,1,5
33,1,9
34,1,8
35,1,7
36,1,9
37,1,9
38,1,5
39,1,42
40,1,14
41,1,14
42,1,12
43,1,9
44,1,13
45,1,10
46,1,14
47,1,12
48,1,3
49,1,9
50,1,28
51,1,33
52,1,13
53,1,72
54,1,8
55,1,16
56,1,33
57,1,12
58,1,10
59,1,10
60,1,29
61,1,10
62,1,15
63,1,9
64,1,15
65,1,9
66,1,48
67,1,7
68,1,7
69,1,25
70,1,9
71,1,7
72,1,31
73,1,10
74,1,13
75,1,11
76,1,7
77,1,11
78,1,5
79,1,14
80,1,59
81,1,14
82,1,10
83,1,14
84,1,10
85,1,8
86,1,16
87,1,6
88,1,8
89,1,12
90,1,6
91,1,12
92,1,6
93,1,46
94,1,15
95,1,9
96,1,15
97,1,9
98,1,7
99,1,32
100,1,11
101,1,6
102,1,6
103,1,12
104,1,6
105,1,16
106,1,7
107,1,8
108,1,9
109,1,16
110,1,33
111,1,6
112,1,18
113,1,7
114,1,16
115,1,8
116,1,16
117,1,8
118,1,8
119,1,7
120,1,16
121,1,10
122,1,5
123,1,18
124,1,9
125,1,7
126,1,8
127,1,6
128,1,11
129,1,7
130,1,8
131,1,7
132,1,11
133,1,4
134,1,4
135,1,15
136,1,7
137,1,18
138,1,4
139,1,18
140,1,9
141,1,7
142,1,8
143,1,9
144,1,15
145,1,8
146,1,12
147,1,10
148,1,21
149,1,3
150,1,10
151,1,10
152,1,5
153,1,8
154,1,8
155,1,9
156,1,12
157,1,4
158,1,12
159,1,12
160,1,9
161,1,29
162,1,9
163,1,7
164,1,6
165,1,4
166,1,33
167,1,14
168,1,3
169,1,8
170,1,5
171,1,7
172,1,9
173,1,10
174,1,15
175,1,9
176,1,5
177,1,11
178,1,7
179,1,8
180,1,7
181,1,37
182,1,11
183,1,7
184,1,6
185,1,12
186,1,8
187,1,17
188,1,4
189,1,18
190,1,9
191,1,15
192,1,10
193,1,7
194,1,7
195,1,10
196,1,14
197,1,10
198,1,6
199,1,10
200,1,8
201,1,14
202,1,9
203,1,8
204,1,9
205,1,7
206,1,16
207,1,7
208,1,8
209,1,9
210,1,9
211,1,14
212,1,8
213,1,10
214,1,8
215,1,6
216,1,16
217,1,9
218,1,15
219,1,10
220,1,29
221,1,13
222,1,5
223,1,15
224,1,8
225,1,16
226,1,10
227,1,24
228,1,16
229,1,9
230,1,12
231,1,11
232,1,16
233,1,8
234,1,15
235,1,10
236,1,15
237,1,7
238,1,16
239,1,8
240,1,25
241,1,34
242,1,4
243,1,9
244,1,16
245,1,9
246,1,14
247,1,10
248,1,16
249,1,6
250,1,17
251,1,9
252,1,14
253,1,9
254,1,16
255,1,9
256,1,15
257,1,7
258,1,8
259,1,8
260,1,11
261,1,13
262,1,11
263,1,14
264,1,8
265,1,16
266,1,8
267,1,16
268,1,8
269,1,16
270,1,8
271,1,16
272,1,8
273,1,16
274,1,7
275,1,17
276,1,8
277,1,16
278,1,9
279,1,15
280,1,10
281,1,13
282,1,11
283,1,14
284,1,7
285,1,16
286,1,8
287,1,9
288,1,7
289,1,9
290,1,15
291,1,11
292,1,13
293,1,5
294,1,5
295,1,6
296,1,9
297,1,10
298,1,12
299,1,13
300,1,14
301,1,5
302,1,19
303,1,6
304,1,16
305,1,11
306,1,12
307,1,10
308,1,39
309,1,10
310,1,15
311,1,24
312,1,9
313,1,13
314,1,11
315,1,15
316,1,8
317,1,16
318,1,8
319,1,15
320,1,11
321,1,14
322,1,8
323,1,7
324,1,9
325,1,9
326,1,15
327,1,10
328,1,16
329,1,8
330,1,13
331,1,10
332,1,15
333,1,11
334,1,12
335,1,11
336,1,12
337,1,8
338,1,18
339,1,9
340,1,15
341,1,5
342,1,18
343,1,7
344,1,6
345,1,10
346,1,12
347,1,14
348,1,8
349,1,16
350,1,8
351,1,15
352,1,9
353,1,7
354,1,8
355,1,10
356,1,14
357,1,11
358,1,14
359,1,10
360,1,14
361,1,8
362,1,15
363,1,11
364,1,13
365,1,11
366,1,7
367,1,7
368,1,6
369,1,17
370,1,8
371,1,12
372,1,4
373,1,11
374,1,13
375,1,10
376,1,6
377,1,8
378,1,14
379,1,10
380,1,14
381,1,11
382,1,6
383,1,6
384,1,11
385,1,11
386,1,14
387,1,9
388,1,14
389,1,19
390,1,7
391,1,7
392,1,16
393,1,9
394,1,9
395,1,6
396,1,7
397,1,7
398,1,9
399,1,7
400,1,9
401,1,8
402,1,9
403,1,6
404,1,11
405,1,7
406,1,17
407,1,8
408,1,14
409,1,9
410,1,15
411,1,10
412,1,15
413,1,9
414,1,14
415,1,10
416,1,14
417,1,8
418,1,15
419,1,11
420,1,15
421,1,9
422,1,6
423,1,9
424,1,9
425,1,15
426,1,6
427,1,18
428,1,7
429,1,15
430,1,11
431,1,14
432,1,10
433,1,13
434,1,10
435,1,16
436,1,7
437,1,17
438,1,10
439,1,15
440,1,11
441,1,12
442,1,10
443,1,14
444,1,9
445,1,19
446,1,7
447,1,13
448,1,7
449,1,16
450,1,10
451,1,14
452,1,9
453,1,15
454,1,9
455,1,17
456,1,7
457,1,15
458,1,10
459,1,15
460,1,9
461,1,15
462,1,7
463,1,18
464,1,4
465,1,19
466,1,9
467,1,12
468,1,7
469,1,5
470,1,14
471,1,10
472,1,16
473,1,6
474,1,19
475,1,5
476,1,16
477,1,26
478,1,7
479,1,15
480,1,10
481,1,14
482,1,9
483,1,15
